市町村,年,収容人数
恩納村,2022,21821
宜野座村,2022,673
金武町,2022,1035
宮古島市,2022,15870
多良間村,2022,201
石垣市,2022,16183
竹富町,2022,4197
与那国町,2022,809
久米島町,2022,1508
渡嘉敷村,2022,1119
座間味村,2022,1594
粟国村,2022,279
渡名喜村,2022,74
南大東村,2022,196
北大東村,2022,104
伊江村,2022,484
伊平屋村,2022,692
伊是名村,2022,454
沖縄県,2022,177191
南部,2022,57903
中部,2022,27246
北部,2022,48278
宮古,2022,16071
八重山,2022,21189
離島,2022,6504
那覇市,2023,52638
糸満市,2023,3278
豊見城市,2023,801
八重瀬町,2023,332
南城市,2023,2034
与那原町,2023,68
南風原町,2023,80
沖縄市,2023,4387
宜野湾市,2023,3625
浦添市,2023,869
うるま市,2023,3331
読谷村,2023,5150
嘉手納町,2023,149
北谷町,2023,8990
北中城村,2023,1173
中城村,2023,65
西原町,2023,0
名護市,2023,11310
国頭村,2023,1292
大宜味村,2023,197
東村,2023,353
今帰仁村,2023,3557
本部町,2023,11039
恩納村,2023,21806
宜野座村,2023,669
金武町,2023,1109
宮古島市,2023,17823
多良間村,2023,151
石垣市,2023,17307
竹富町,2023,3973
与那国町,2023,475
久米島町,2023,2209
渡嘉敷村,2023,869
座間味村,2023,1418
粟国村,2023,238
渡名喜村,2023,53
南大東村,2023,264
北大東村,2023,94
伊江村,2023,495
伊平屋村,2023,653
伊是名村,2023,408
沖縄県,2023,184732
南部,2023,59231
中部,2023,27739
北部,2023,51332
宮古,2023,17974
八重山,2023,21755
離島,2023,6701
